Creek,Year,erosion_m_yr
A,2011,0.255572352
B,2011,0.07688492
C,2011,0.420347085
D,2011,0.30215599
E,2011,-0.223708
F,2011,0.128829216
G,2011,0.197626765
J,2011,0.472473305
L,2011,0.223930863
M,2011,0.138564458
N,2011,0.244234437
O,2011,0.33659335
P,2011,0.407108743
A,2017,0.090903747
B,2017,-0.283124248
C,2017,0.085376604
D,2017,0.174979584
E,2017,-0.1955505
F,2017,-0.103284858
G,2017,0.018977325
J,2017,0.446827679
L,2017,0.288866045
M,2017,0.101066537
N,2017,0.175304359
O,2017,0.128162792
P,2017,0.303361643
