Site,treat,Block,plot_id,Burrows_msq_2014,Burrows_msq_2015,Burrows_change,crab_density_msq,crab_per_trap,sed_accrete_g,BulkDens_kg_msq,BGMass_kg_msq,AGMass_kg_msq,BulkDens_g_core,BGMass_g_core,AGMass_g_core,AG_Consum_Crab,AG_Consum_NoCrab,BG_Consum_Crab,BG_Consum_NoCrab
D,no_otter,1,D1,20,44,24,1,0.25,31.91,137.45,2.58,0.35,1079,20.23,2.779999997,0,0.129,0.2507,0
D,no_otter,2,D2,8,24,16,0,0,21.94,126.59,2.92,0.25,993.7000003,22.92,1.930000003,0,0,0.103,0
D,no_otter,3,D3,0,6,6,1,0.25,21.27,120.71,4.9,1.22,947.6,38.47,9.599999998,0,0.036,0.302,0.318
D,no_otter,4,D4,0,8,8,1,0.25,29.56,134.73,1.83,0.36,1057.6,14.37,2.859999999,0,0.034,0.382,0.163
D,no_otter,5,D5,64,84,20,0,0,34.87,140,3.85,0.27,1099,30.22,2.110000001,0,0,0.368,0.318
E,no_otter,1,E1,10,0,-10,0,0,31.66,128.1,4.07,0.4,1005.6,31.93,3.130000003,0,0.293,0.583,0.045
E,no_otter,2,E2,4,0,-4,2,0.5,21.94,119.78,4.68,0.79,940.3000001,36.73,6.179999996,0,0,0.247,0
E,no_otter,3,E3,6,6,0,0,0,22.83,118.45,3.77,1.39,929.8000002,29.59,10.94,0.392,0,0.552,0.176
E,no_otter,4,E4,24,10,-14,0,0,18.38,138.51,5.62,1.02,1087.3,44.11,8.02,0,0.05,0.248,0.121
E,no_otter,5,E5,28,12,-16,1,0.25,na,108.76,7.18,0.99,853.7999999,56.4,7.749999996,0,0,0.577,0.251
J,no_otter,1,J1,0,36,36,1,0.25,18.23,113.87,1.06,0.38,893.9000003,8.319999996,3.020000002,na,na,na,na
J,no_otter,2,J2,0,16,16,1,0.25,30.85,142.71,1.92,0.93,1120.3,15.11,7.330000002,na,na,na,na
J,no_otter,3,J3,6,0,-6,4,1,38.76,164.13,2.56,0.99,1288.4,20.13,7.810000003,na,na,na,na
J,no_otter,4,J4,4,36,32,0,0,26.65,142.69,1.06,0.28,1120.1,8.309999999,2.229999999,na,na,na,na
J,no_otter,5,J5,10,50,40,3,0.75,32.13,14.71,2.12,0.49,115.5,16.66,3.840000004,na,na,na,na
N,no_otter,1,N1,0,0,0,0,0,42.57,125.96,5.98,0.32,988.7999997,46.98,2.480000001,na,na,na,na
N,no_otter,2,N2,0,18,18,0,0,na,136.47,6.71,1.51,1071.3,52.64,11.86,na,na,na,na
N,no_otter,3,N3,0,40,40,3,0.75,30.88,145.32,2.96,0.83,1140.8,23.26,6.489999997,na,na,na,na
N,no_otter,4,N4,10,42,32,2,0.5,29.37,76.59,2.22,0.84,601.24,17.43,6.629999998,na,na,na,na
