site,block,plot_id,date,julian_day,year,sampling_period,Treatment,total_number_of_crabs_trapped,change_in_crab,otter_ha
D,1,D1,5/25/14,14145,2014,14-May,No Otter,14,na,0.214
D,2,D2,5/25/14,14145,2014,14-May,No Otter,0,na,0.214
D,3,D3,5/25/14,14145,2014,14-May,No Otter,9,na,0.214
D,4,D4,5/25/14,14145,2014,14-May,No Otter,0,na,0.214
D,5,D5,5/25/14,14145,2014,14-May,No Otter,0,na,0.214
D,1,D1,5/25/14,14145,2014,14-May,Otter,12,na,0.214
D,2,D2,5/25/14,14145,2014,14-May,Otter,16,na,0.214
D,3,D3,5/25/14,14145,2014,14-May,Otter,0,na,0.214
D,4,D4,5/25/14,14145,2014,14-May,Otter,0,na,0.214
D,5,D5,5/25/14,14145,2014,14-May,Otter,0,na,0.214
D,1,D1,9/10/14,14253,2014,14-Sep,No Otter,12,-2,0.214
D,2,D2,9/10/14,14253,2014,14-Sep,No Otter,12,12,0.214
D,3,D3,9/10/14,14253,2014,14-Sep,No Otter,14,5,0.214
D,4,D4,9/10/14,14253,2014,14-Sep,No Otter,20,20,0.214
D,5,D5,9/10/14,14253,2014,14-Sep,No Otter,10,10,0.214
D,1,D1,9/10/14,14253,2014,14-Sep,Otter,13,1,0.214
D,2,D2,9/10/14,14253,2014,14-Sep,Otter,9,-7,0.214
D,3,D3,9/10/14,14253,2014,14-Sep,Otter,10,10,0.214
D,4,D4,9/10/14,14253,2014,14-Sep,Otter,11,11,0.214
D,5,D5,9/10/14,14253,2014,14-Sep,Otter,6,6,0.214
D,1,D1,2/21/15,15052,2015,15-Feb,No Otter,13,-1,0.769
D,2,D2,2/21/15,15052,2015,15-Feb,No Otter,19,19,0.769
D,3,D3,2/21/15,15052,2015,15-Feb,No Otter,13,4,0.769
D,4,D4,2/21/15,15052,2015,15-Feb,No Otter,14,14,0.769
D,5,D5,2/21/15,15052,2015,15-Feb,No Otter,9,9,0.769
D,1,D1,2/21/15,15052,2015,15-Feb,Otter,8,-4,0.769
D,2,D2,2/21/15,15052,2015,15-Feb,Otter,10,-2,0.769
D,3,D3,2/21/15,15052,2015,15-Feb,Otter,13,13,0.769
D,4,D4,2/21/15,15052,2015,15-Feb,Otter,10,10,0.769
D,5,D5,2/21/15,15052,2015,15-Feb,Otter,7,7,0.769
D,1,D1,6/13/15,15164,2015,15-Jun,No Otter,11,-3,0.769
D,2,D2,6/13/15,15164,2015,15-Jun,No Otter,16,16,0.769
D,3,D3,6/13/15,15164,2015,15-Jun,No Otter,7,-2,0.769
D,4,D4,6/13/15,15164,2015,15-Jun,No Otter,11,11,0.769
D,5,D5,6/13/15,15164,2015,15-Jun,No Otter,6,6,0.769
D,1,D1,6/13/15,15164,2015,15-Jun,Otter,12,0,0.769
D,2,D2,6/13/15,15164,2015,15-Jun,Otter,14,2,0.769
D,3,D3,6/13/15,15164,2015,15-Jun,Otter,12,12,0.769
D,4,D4,6/13/15,15164,2015,15-Jun,Otter,9,9,0.769
D,5,D5,6/13/15,15164,2015,15-Jun,Otter,11,11,0.769
D,1,D1,8/9/15,15221,2015,15-Aug,No Otter,18,4,0.769
D,2,D2,8/9/15,15221,2015,15-Aug,No Otter,23,23,0.769
D,3,D3,8/9/15,15221,2015,15-Aug,No Otter,11,2,0.769
D,4,D4,8/9/15,15221,2015,15-Aug,No Otter,14,14,0.769
D,5,D5,8/9/15,15221,2015,15-Aug,No Otter,10,10,0.769
D,1,D1,8/9/15,15221,2015,15-Aug,Otter,19,7,0.769
D,2,D2,8/9/15,15221,2015,15-Aug,Otter,12,0,0.769
D,3,D3,8/9/15,15221,2015,15-Aug,Otter,19,19,0.769
D,4,D4,8/9/15,15221,2015,15-Aug,Otter,18,18,0.769
D,5,D5,8/9/15,15221,2015,15-Aug,Otter,13,13,0.769
D,1,D1,12/3/16,16338,2016,16-Dec,No Otter,1,-13,0.571
D,2,D2,12/3/16,16338,2016,16-Dec,No Otter,0,0,0.571
D,3,D3,12/3/16,16338,2016,16-Dec,No Otter,1,-8,0.571
D,4,D4,12/3/16,16338,2016,16-Dec,No Otter,1,1,0.571
D,5,D5,12/3/16,16338,2016,16-Dec,No Otter,0,0,0.571
D,1,D1,12/3/16,16338,2016,16-Dec,Otter,0,-12,0.571
D,2,D2,12/3/16,16338,2016,16-Dec,Otter,1,-11,0.571
D,3,D3,12/3/16,16338,2016,16-Dec,Otter,0,0,0.571
D,4,D4,12/3/16,16338,2016,16-Dec,Otter,1,1,0.571
D,5,D5,12/3/16,16338,2016,16-Dec,Otter,1,1,0.571
E,1,E1,5/17/14,14137,2014,14-May,No Otter,7,na,0.335
E,2,E2,5/17/14,14137,2014,14-May,No Otter,15,na,0.335
E,3,E3,5/17/14,14137,2014,14-May,No Otter,10,na,0.335
E,4,E4,5/17/14,14137,2014,14-May,No Otter,6,na,0.335
E,5,E5,5/17/14,14137,2014,14-May,No Otter,8,na,0.335
E,1,E1,5/17/14,14137,2014,14-May,Otter,18,na,0.335
