ID,SECTION,year,erosion_m_y,Lat,Long
10,0,1937,-0.43,36.81728141,-121.7445638
11,0,1937,-0.048333333,36.82080162,-121.742864
12,0,1937,0.373333333,36.82296128,-121.7419457
13,0,1937,0.358333333,36.83555707,-121.7402948
14,0,1937,0.115,36.83589898,-121.7399257
17,0,1937,0.151666667,36.81597393,-121.7444804
18,0,1937,0.016666667,36.81644803,-121.7442057
19,0,1937,0.148333333,36.81376763,-121.7666757
20,0,1937,-0.331666667,36.81269449,-121.7666855
15,0,1937,0.323333333,36.84301192,-121.752426
21,0,1937,-0.24,36.84855875,-121.7572213
22,0,1937,-0.05,36.84834837,-121.7559189
23,0,1937,-0.263333333,36.85093509,-121.758113
24,0,1937,0.045,36.85231706,-121.7577792
25,0,1937,0.056666667,36.85369503,-121.7580746
121,2,1937,-0.121666667,36.8171196,-121.7497502
97,2,1937,0.131666667,36.81760162,-121.7496608
122,2,1937,0.058333333,36.81701175,-121.7508347
123,2,1937,0.43,36.81757629,-121.7517896
124,2,1937,0.215,36.8179078,-121.7532674
125,2,1937,-0.29,36.81762098,-121.7537764
126,2,1937,0.126666667,36.81776695,-121.7546194
127,2,1937,0.043333333,36.81761165,-121.7551633
128,2,1937,-0.123333333,36.81740884,-121.7562938
129,2,1937,0.023333333,36.8171728,-121.7576696
130,2,1937,-0.023333333,36.81736929,-121.7587862
131,2,1937,0.171666667,36.8177862,-121.7598844
132,2,1937,0.003333333,36.81686993,-121.7589277
133,2,1937,0.02,36.81612644,-121.7596739
134,2,1937,0.416666667,36.81608479,-121.759111
135,2,1937,0.018333333,36.81577263,-121.7589084
136,2,1937,0.113333333,36.81613798,-121.7584946
137,2,1937,0.245,36.81664578,-121.7568772
138,2,1937,0.053333333,36.81630713,-121.7564229
139,2,1937,0.128333333,36.81642827,-121.7554643
140,2,1937,0.228333333,36.81745076,-121.7528966
141,2,1937,0.06,36.8170767,-121.7536146
142,2,1937,0.106666667,36.81643864,-121.7530391
143,2,1937,0.108333333,36.81578796,-121.7541027
144,2,1937,-0.118333333,36.81476694,-121.760978
145,2,1937,-0.016666667,36.81585758,-121.7613229
146,2,1937,0.418333333,36.81654637,-121.7609003
147,2,1937,0.268333333,36.81637902,-121.7614713
148,2,1937,0.053333333,36.81521985,-121.7613528
149,2,1937,-0.328333333,36.81791189,-121.7656597
150,2,1937,0.796666667,36.81827917,-121.7654827
151,2,1937,0.576666667,36.81864959,-121.7668151
152,2,1937,-0.416666667,36.81821597,-121.7666275
153,2,1937,-0.05,36.81410714,-121.7623566
154,2,1937,0.095,36.81443175,-121.7623376
155,2,1937,-0.131666667,36.81433205,-121.762688
156,3,1937,-0.193333333,36.81271446,-121.7455952
157,3,1937,0.085,36.81254171,-121.7461764
158,3,1937,-0.078333333,36.81149917,-121.7462602
159,3,1937,-0.193333333,36.81168033,-121.7470432
160,3,1937,0.126666667,36.81204343,-121.7469854
161,3,1937,0.095,36.81221455,-121.7479466
162,3,1937,0.196666667,36.81201744,-121.7490473
163,3,1937,0.121666667,36.81150273,-121.7488629
164,3,1937,-0.056666667,36.8116763,-121.7477923
165,3,1937,0.07,36.81110735,-121.7481542
166,3,1937,0.02,36.81116839,-121.747013
167,3,1937,-0.018333333,36.81210307,-121.7455952
1,3,1937,-1.038333333,36.81121323,-121.7557219
168,3,1937,0.108333333,36.81397284,-121.7462677
169,3,1937,0.048333333,36.81346116,-121.7475028
170,3,1937,0.12,36.81306069,-121.7483381
171,3,1937,0.16,36.81288186,-121.7492938
172,3,1937,-0.031666667,36.81274332,-121.7480953
173,3,1937,0.033333333,36.81225431,-121.7526861
174,3,1937,-0.051666667,36.81185514,-121.7515802
175,3,1937,-0.161666667,36.81169824,-121.7508338
176,3,1937,-0.251666667,36.81191038,-121.7522986
177,3,1937,-0.273333333,36.81160434,-121.7531065
16,3,1937,0.376666667,36.81163942,-121.7539986
178,3,1937,0.125,36.81458966,-121.7474681
179,3,1937,0.17,36.80878619,-121.7471567
180,3,1937,0.173333333,36.80914908,-121.7475691
181,3,1937,0.116666667,36.80932842,-121.7479257
182,3,1937,0.078333333,36.80868203,-121.7475123
63,4,1937,2.233333333,36.8347101,-121.7434821
64,4,1937,0.493333333,36.83397942,-121.7446572
80,4,1937,0.18,36.83361613,-121.745365
81,4,1937,0.088333333,36.83306563,-121.7457449
82,4,1937,0.151666667,36.83266718,-121.744713
83,4,1937,0.62,36.83216704,-121.7453442
84,4,1937,-0.13,36.83177846,-121.744683
85,4,1937,0.04,36.83167382,-121.7439663
86,4,1937,-0.081666667,36.83149819,-121.7452439
87,4,1937,0.085,36.83110385,-121.7453256
88,4,1937,0.353333333,36.83133831,-121.745914
89,4,1937,-0.145,36.83077856,-121.7459825
90,4,1937,0.063333333,36.83070186,-121.7454942
91,4,1937,0.116666667,36.83011545,-121.7452961
98,4,1937,-0.161666667,36.82729572,-121.7456701
99,4,1937,0.055,36.82765792,-121.745774
100,4,1937,-0.066666667,36.82732737,-121.7463883
